book title,author,genre
"Iron Flame (The Empyrean, 2)",Rebecca Yarros,Fantasy
The Woman in Me,Britney Spears,Memoir
My Name Is Barbra,Barbra Streisand,Autobiography
"Friends, Lovers, and the Big Terrible Thing: A Memoir",Matthew Perry,Memoir
How to Catch a Turkey,Adam Wallace,"Childrens,"
"Fourth Wing (The Empyrean, 1)",Rebecca Yarros,Fantasy
Unwoke: How to Defeat Cultural Marxism in America,Unknown,"Nonfiction,"
No Brainer (Diary of a Wimpy Kid Book 18),Jeff Kinney,"Humor,"
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Nonfiction,"
All the Light We Cannot See: A Novel,Anthony Doerr,Historical
The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),Suzanne Collins,"Adventure,"
Night (Night),Elie Wiesel,Memoir
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Self-improvement,"
Stocking Stuffer Mad Libs: World's Greatest Word Game,Leigh Olsen,"Childrens,"
The 48 Laws of Power,Robert Greene,Nonfiction
The Great Disappearance: 31 Ways to be Rapture Ready,David Jeremiah,Spiritual
Lessons in Chemistry: A Novel,Bonnie Garmus,"Fiction,"
The Exchange: After The Firm (The Firm Series),John Grisham,"Literary,"
Taylor Swift: A Little Golden Book Biography, Wendy Loggia,Picture
Don't Let the Pigeon Drive the Sleigh!,Mo Willems,Picture
Turkey Trouble,Wendi Silvano,Picture
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Nonfiction,"
"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",Sarah J. Maas,"Fantasy,"
A Little Life,Hanya Yanagihara,"Fiction,"
"House of Flame and Shadow (Crescent City, 3)",Sarah J. Maas,"Fantasy,"
"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",Editors of Publications International,"Childrens,"
"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",Sherri Duskey Rinker,Picture
The Leaf Thief: (The Perfect Fall Book for Children and Toddlers),Alice Hemming,Childrens
Murtagh: The World of Eragon (The Inheritance Cycle),Christopher Paolini,"Fantasy,"
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,Picture
Balloons over Broadway: The True Story of the Puppeteer of Macy's Parade (Bank Street College of Education Flora Stieglitz St,Bill Martin Jr.,"Childrens,"
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Melissa Sweet,Picture
The Housemaid,Don Miguel Ruiz,"Spirituality,"
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,Alice Walstead,"Thriller,"
The Very Hungry Caterpillar,David Brooks,Nonfiction
How to Catch a Reindeer,Eric Carle,"Childrens,"
Pookie's Thanksgiving (Little Pookie),Alice Walstead,"Childrens,"
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Sandra Boynton,Picture
The Seven Husbands of Evelyn Hugo: A Novel,Morgan Housel,"Finance,"
I Love You to the Moon and Back,Taylor Jenkins Reid,Historical
Outlive: The Science and Art of Longevity,Peter Attia,"Health,"
Hundred Years' War on Palestine,Rashid Khalidi,"History,"
Little Blue Truck's Christmas: A Christmas Holiday Book for Kids,Alice Schertle,"Childrens,"
Goodnight Moon,Margaret Wise Brown,"Childrens,"
I Am Thankful: A Thanksgiving Book for Kids,Sheri Wall,Picture
"How to Be the Love You Seek: Break Cycles, Find Peace, and Heal Your Relationships",Nicole LePera,Self
A Court of Thorns and Roses Paperback Box Set (5 books),Sarah J. Maas,"Fantasy,"
